nom,liens,disponibiliter,prix_regulier,remis_aditionnelle,EAN / GTIN,Poids - g,Marque,Model,Taille de la batterie,Batterie chimique,Batterie,Tension nominale,capaciter_ah,Version batterie,Courant de décharge - A,Protection des circuits,Hauteur - mm,Diamètre - mm,10,40,100,200,600,30,180,540,360,50,Inclus,400,300,20,2,90,60,165,495,35
BAK N18650CK 3000mAh - 6.1A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/bak-n18650ck-3000mah-6-1a.html,False,2.65,True,7417940530963,47.0,BAK,,18650.0,Li-ion,Rechargeable,3.6,3.0,Haut plat,6.1,Non protégé,"64,85",18.35,,,2.55,2.45,2.35,,,,,,,,,,,,,,,
BAK H18650CH 2600mAh - 5A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/bak-h18650ch-2600mah-5a.html,False,2.65,True,7417940526850,48.0,BAK,H18650CH,18650.0,Li-ion,Rechargeable,3.6,2.6,Haut plat,5.0,Non protégé,"64,85",18.35,2.33,,2.13,2.03,1.93,,,,,,,,,,,,,,,
EVE ICR18650-26V 2500mAh - 7.65A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/eve-inr18650-26v-2550mah-7-65a.html,False,2.65,True,7417940526973,46.0,EVE,ICR18650-26V,18650.0,Li-ion,Rechargeable,3.6,2.5,Haut plat,7.65,Non protégé,"65,10",18.4,,,1.91,1.81,1.72,,,,,2.02,,,,,,,,,,
LG INR18650MH1 3100mAh - 6A - remis à neuf,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/lg-inr18650mh1-3100mah-6a-reclaimed.html,False,2.65,True,7417940528830,48.0,LG,INR18650MH1,18650.0,Li-ion,Rechargeable,3.6,3.1,"récupéré, Haut plat",6.0,Non protégé,"65,15",18.41,2.55,,2.45,2.35,2.25,,,,,,,2.29,,,,,,,,
EVE INR18650-25P 2500mAh - 20A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/eve-inr18650-25p-2500mah-20a.html,False,2.49,True,7417940527895,44.5,EVE,INR18650-25P,18650.0,Li-ion,Rechargeable,3.6,2.5,Haut plat,20.0,Non protégé,"65,00",18.35,2.39,,2.29,2.19,,,,,,,,,,,,,,,,
Tenpower ICR18650-20SG 2000mAh - 30A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/tenpower-20sg.html,False,2.35,True,7417940529769,45.0,Tenpower,ICR18650-20SG,18650.0,Li-ion,Rechargeable,3.6,2.0,Haut plat,30.0,Non protégé,"65,50",18.5,2.15,,2.05,1.95,1.8,,,,,,,1.85,,,,,,,,
Tenpower ICR18650-26HE 2600mAh - 10A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/tenpower-icr18650-26he-2600mah-10a.html,False,2.25,True,7417940529745,47.0,Tenpower,ICR18650-26HE,18650.0,Li-ion,Rechargeable,3.6,2.6,Haut plat,10.0,Non protégé,"65,50",18.5,,,1.95,1.9,1.8,,,,,,,,,,,,,,,
Tenpower INR18650-25PG 2500mAh - 20A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/tenpower-inr18650-2500mah-20a.html,True,2.95,True,7417940529752,47.0,Tenpower,INR18650-25PG,18650.0,Li-ion,Rechargeable,3.6,2.5,Haut plat,20.0,Non protégé,"65,20",47.0,2.75,,2.65,2.55,2.35,,,,,,,2.45,,,,,,,,
Nitecore 18650 NL1826RX USB-C 2600mAh - 2A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/nitecore-18650-nl1826rx-2600mah-2a.html,False,12.75,False,6952506495504,46.8,Nitecore,,18650.0,Li-ion,Rechargeable,3.6,2.6,"Bouton haut, USB",2.0,Protégé,"71,00",18.6,,,,,,,,,,,,,,,,,,,,
DMEGC INR18650-29E 2900mAh - 4.8A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/dmegc-inr18650-29e-2900mah-4-8a.html,False,2.35,True,7417940530116,45.0,DMEGC,,18650.0,Li-ion,Rechargeable,3.6,2.9,Haut plat,15.0,Non protégé,"65,00",18.0,,,,2.3,2.25,,,,,,,,,,,,,,,
Tenpower INR18650-25PG 2500mAh - 20A - remis à neuf,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/tenpower-inr18650-2500mah-20a-reclaimed.html,True,2.25,True,7417940530390,47.0,Tenpower,INR18650-25PG,18650.0,Li-ion,Rechargeable,3.6,2.5,Haut plat,20.0,Non protégé,"65,20",47.0,2.15,,1.95,1.8,1.7,,,,,,,,,,,,,,,
Nitecore 18650 NL1835LTHP 3500mAh (protected) - 8A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/nitecore-18650-nl1835lthp-3500mah-8a.html,True,29.95,False,6952506494873,50.0,Nitecore,NL1835LTHP,18650.0,Li-ion,Rechargeable,3.6,3.5,"Bouton haut, Basse température",8.0,Protégé,"69,30",18.7,,,,,,,,,,,,,,,,,,,,
